sec/op,CI
Gol/64x64x100-1-16,8.415206626,∞
Gol/64x64x100-2-16,8.616266985000001,∞
Gol/64x64x100-3-16,8.543467421,∞
Gol/64x64x100-4-16,8.661819164,∞
Gol/64x64x100-5-16,9.074673061,∞
Gol/64x64x100-6-16,8.664778775,∞
Gol/64x64x100-7-16,8.847832792,∞
Gol/64x64x100-8-16,9.559815293,∞
Gol/64x64x100-9-16,9.162019095,∞
Gol/64x64x100-10-16,9.468371751000001,∞
Gol/64x64x100-11-16,9.165898740000001,∞
Gol/64x64x100-12-16,9.513591562,∞
Gol/64x64x100-13-16,9.294037578000001,∞
Gol/64x64x100-14-16,9.255542187000001,∞
Gol/64x64x100-15-16,9.118449206000001,∞
Gol/64x64x100-16-16,9.526477971,∞
