goos: linux
goarch: amd64
pkg: uk.ac.bris.cs/gameoflife
cpu: 13th Gen Intel(R) Core(TM) i5-13500H
,results.out
,sec/op,CI
Gol/512x512x100-1-16,0.6642446590000001,∞
Gol/512x512x100-2-16,0.488739154,∞
Gol/512x512x100-3-16,0.409063214,∞
Gol/512x512x100-4-16,0.38214300900000003,∞
Gol/512x512x100-5-16,0.382318492,∞
Gol/512x512x100-6-16,0.390977891,∞
Gol/512x512x100-7-16,0.38369825900000004,∞
Gol/512x512x100-8-16,0.37953280100000003,∞
Gol/512x512x100-9-16,0.379810509,∞
Gol/512x512x100-10-16,0.37605285600000005,∞
Gol/512x512x100-11-16,0.377984345,∞
Gol/512x512x100-12-16,0.383385707,∞
Gol/512x512x100-13-16,0.369300813,∞
Gol/512x512x100-14-16,0.36016579800000004,∞
Gol/512x512x100-15-16,0.370211153,∞
Gol/512x512x100-16-16,0.363772496,∞
geomean,0.3988139748033984
